BALANCE 2021;;;;;;
;;;;;;
N°;Libellé écriture;Solde Final;;;;
10100000;CAPITAL;-1 000,000;;;;
11100000;RESERVE LEGALE;;;;;
12100000;RESULTATS REPORTES;-150 000,000;;;;
13000000;RESULTAT DE L'EXERCICE;;;;;
13100000;RESULTAT BENEFICIAIRE;;;;;
21300000;LOGICIELS;2 500 000,000;;;;
22160000;AGENCEMENT ET AMENAGEMENT DES TERRAINS;;;;;
22400000;MATERIEL DE TRANSPORT;3 500 000,000;;;;
22800000;AUTRES IMMOB CORPORELLES;;;;;
22820000;EQUIPEMENT DE BUREAU;100 000,000;;;;
22821000;MATERIEL INFORMATIQUE;;;;;
28121300;AMORTISSEMENT LOGICIELS;;;;;
28130000;AMORT LOGICIELS;2 500,000;;;;
28221000;AMORT AGENC/AMENAG ET INST GLE;1 000,000;;;;
28222000;AMORT EQUIPEMENT DE BUREAU;;;;;
28222100;AMORT MATERIEL INFORMATIQUE;;;;;
28228100;AMORT MATERIEL DE TRANSPORT;3 500,000;;;;
28240000;AMORTISSEMENT AUTRES IMMOBILISATIONS;;;;;
40110000;FOURNISSEUR D'EXPLOITATION LOCAL;-620 000,000;;;;
41100000;CLIENT LOCAL;350 000,000;;;;
42100000;PERSONNEL AVANCE ET ACCOMPTE;250 000,000;;;;
42500000;PERSONNEL, REMUNERATION DUE;;;;;
42810000;PROVISIONS CONGES PAYES;;;;;
43200000;RS / SALAIRES;;;;;
43200500;RS / TIERS 5%;;;;;
43200600;RS/TIERS 15%;;;;;
43200700;RS 1,5%;;;;;
43410001;R/S CLIENTS;;;;;
43420000;ACCOMPTES PROVISIONNELS;;;;;
43430000;IMPOT A LIQUIDER;;;;;
43440000;REPORT IS;;;;;
43660700;TVA DEDUCTIBLE 7%;;;;;
43661300;TVA DEDUCTIBLE 13%;;;;;
43661800;TVA DEDUCTIBLE 19%;;;;;
43671300;TVA COLLECTEE 13%;;;;;
43671900;TVA COLLECTEE 19%;;;;;
43680000;TVA A PAYER OU A REPORTER;;;;;
43700000;AUTRES IMPOTS ET TAXES;;;;;
43700000;TIMBRE FISCAL;;;;;
43700001;TFP;;;;;
43700002;FOPROLOS;;;;;
43700003;TCL;;;;;
43700004;DROIT DE TIMBRE;;;;;
44200000;ASSOCIES, COMPTES COURANTS;;;;;
45311000;CNSS;;;;;
47100000;CHARGES PAYES OU CONSTATES D'AVANCE;500,000;;;;
47200000;PRODUITS A RECEVOIR;;;;;
53200300;BANQUE;1 279,660;;;;
54000000;CAISSE;;;;;
60400000;ETUDES ET PRESTATIONS DE SERVICES;8 700,000;;;;
60610000;EAU;;;;;
60620000;ELECTRICITE;200,000;;;;
60630000;GASOIL;100,000;;;;
60640000;FOURNITURES DE BUREAU;500,000;;;;
60650000;ACHAT DIVERS PRODUITS;1 500,000;;;;
61300000;LOYER;6 500,000;;;;
61500000;ENTRETIEN ET REPARATION;700,000;;;;
61500100;ENTRETIEN MATERIEL INFORMATIQUE;250,000;;;;
61500200;FRAIS DE NETTOYAGE;;;;;
61600000;PRIMES D'ASSURANCE;;;;;
62200000;HONORAIRE;;;;;
62200001;HONORAIRE COMPTABLES;;;;;
62270000;FRAIS D'ACTE ET CONTENTIEUX;;;;;
62300000;PUBLI, PUBLICA ET RELAT PUBLIQUES;;;;;
62300001;DIVERS PETITS OUTILLAGES;;;;;
62480000;TRANSPORT DIVERS;;;;;
62510000;FRAIS DE DEPLACEMENT;;;;;
62510400;MISSIONS;;;;;
62511000;RESTAURANTS;;;;;
62510600;LOCATION VOITURES;;;;;
62520200;RECEPTION;;;;;
62520700;TIMBRE DE VOYAGE;;;;;
62520800;VISA;;;;;
62600000;INTERNET;;;;;
62620000;TELEPHONE;;;;;
62620100;FRAIS POSTAUX;;;;;
62630000;ABONNEMENT T.T.N;;;;;
62720000;FRAIS BANCAIRES ET COMMISSIONS;;;;;
63600001;PERTE/DIFFERANCE DU REGLEMENT;;;;;
63600002;PENALITES AMENDES FISCALES;;;;;
64000000;SALAIRES;23 000,000;;;;
64281000;CONGES PAYES;;;;;
64711000;CHARGE PATRONALE;;;;;
64712000;ACCIDENT DE TRAVAIL;;;;;
65120000;INTERETS DEBITEURS;;;;;
66001000;TFP;;;;;
66001100;FOPROLOS;;;;;
66001200;TCL;;;;;
66500001;AUTRES DROITS ET TAXES;;;;;
66540000;DROITS D'ENREGISTREMENT ET DE TIMBRE;20,340;;;;
66550000;TAXE/VEHICULES;;;;;
67000100;DIFFERENCE DE REGLEMENT;;;;;
68100000;DOTATIONS AUX AMORT ET AUX PROV;;;;;
6900000;IMPOT SUR LES SOCIETES;;;;;
70500100;PRESTATIONS DE SERVICES;-5 719 800,000;;;;
73600000;PRODUITS NET/C .IMM ET A.ELE N RECC O.EX;;;;;
73600001;GAIN/DIFFERENCE DE REGLEMENT;;;;;
78100000;REPRISE SUR PROVISION;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;259 450,000;;;;
