BALANCE 2021;;;;;;
;;;;;;
N°;Libellé écriture;Solde Final;;;;
10100000;CAPITAL;-1 000,000;;;;
11100000;RESERVE LEGALE;0,000;;;;
12100000;RESULTATS REPORTES;-150 000,000;;;;
13000000;RESULTAT DE L'EXERCICE;0,000;;;;
13100000;RESULTAT BENEFICIAIRE;0,000;;;;
21300000;LOGICIELS;2 500 000,000;;;;
22160000;AGENCEMENT ET AMENAGEMENT DES TERRAINS;0,000;;;;
22400000;MATERIEL DE TRANSPORT;3 500 000,000;;;;
22800000;AUTRES IMMOB CORPORELLES;0,000;;;;
22820000;EQUIPEMENT DE BUREAU;100 000,000;;;;
22821000;MATERIEL INFORMATIQUE;0,000;;;;
28121300;AMORTISSEMENT LOGICIELS;0,000;;;;
28130000;AMORT LOGICIELS;2 500,000;;;;
28221000;AMORT AGENC/AMENAG ET INST GLE;1 000,000;;;;
28222000;AMORT EQUIPEMENT DE BUREAU;0,000;;;;
28222100;AMORT MATERIEL INFORMATIQUE;0,000;;;;
28228100;AMORT MATERIEL DE TRANSPORT;3 500,000;;;;
28240000;AMORTISSEMENT AUTRES IMMOBILISATIONS;0,000;;;;
40110000;FOURNISSEUR D'EXPLOITATION LOCAL;-620 000,000;;;;
41100000;CLIENT LOCAL;350 000,000;;;;
42100000;PERSONNEL AVANCE ET ACCOMPTE;250 000,000;;;;
42500000;PERSONNEL, REMUNERATION DUE;0,000;;;;
42810000;PROVISIONS CONGES PAYES;0,000;;;;
43200000;RS / SALAIRES;0,000;;;;
43200500;RS / TIERS 5%;0,000;;;;
43200600;RS/TIERS 15%;0,000;;;;
43200700;RS 1,5%;0,000;;;;
43410001;R/S CLIENTS;0,000;;;;
43420000;ACCOMPTES PROVISIONNELS;0,000;;;;
43430000;IMPOT A LIQUIDER;0,000;;;;
43440000;REPORT IS;0,000;;;;
43660700;TVA DEDUCTIBLE 7%;0,000;;;;
43661300;TVA DEDUCTIBLE 13%;0,000;;;;
43661800;TVA DEDUCTIBLE 19%;0,000;;;;
43671300;TVA COLLECTEE 13%;0,000;;;;
43671900;TVA COLLECTEE 19%;0,000;;;;
43680000;TVA A PAYER OU A REPORTER;0,000;;;;
43700000;AUTRES IMPOTS ET TAXES;0,000;;;;
43700000;TIMBRE FISCAL;0,000;;;;
43700001;TFP;0,000;;;;
43700002;FOPROLOS;0,000;;;;
43700003;TCL;0,000;;;;
43700004;DROIT DE TIMBRE;0,000;;;;
44200000;ASSOCIES, COMPTES COURANTS;0,000;;;;
45311000;CNSS;0,000;;;;
47100000;CHARGES PAYES OU CONSTATES D'AVANCE;500,000;;;;
47200000;PRODUITS A RECEVOIR;0,000;;;;
53200300;BANQUE;1 279,660;;;;
54000000;CAISSE;0,000;;;;
60400000;ETUDES ET PRESTATIONS DE SERVICES;8 700,000;;;;
60610000;EAU;0,000;;;;
60620000;ELECTRICITE;200,000;;;;
60630000;GASOIL;100,000;;;;
60640000;FOURNITURES DE BUREAU;500,000;;;;
60650000;ACHAT DIVERS PRODUITS;1 500,000;;;;
61300000;LOYER;6 500,000;;;;
61500000;ENTRETIEN ET REPARATION;700,000;;;;
61500100;ENTRETIEN MATERIEL INFORMATIQUE;250,000;;;;
61500200;FRAIS DE NETTOYAGE;0,000;;;;
61600000;PRIMES D'ASSURANCE;0,000;;;;
62200000;HONORAIRE;0,000;;;;
62200001;HONORAIRE COMPTABLES;0,000;;;;
62270000;FRAIS D'ACTE ET CONTENTIEUX;0,000;;;;
62300000;PUBLI, PUBLICA ET RELAT PUBLIQUES;0,000;;;;
62300001;DIVERS PETITS OUTILLAGES;0,000;;;;
62480000;TRANSPORT DIVERS;0,000;;;;
62510000;FRAIS DE DEPLACEMENT;0,000;;;;
62510400;MISSIONS;0,000;;;;
62511000;RESTAURANTS;0,000;;;;
62510600;LOCATION VOITURES;0,000;;;;
62520200;RECEPTION;0,000;;;;
62520700;TIMBRE DE VOYAGE;0,000;;;;
62520800;VISA;0,000;;;;
62600000;INTERNET;0,000;;;;
62620000;TELEPHONE;0,000;;;;
62620100;FRAIS POSTAUX;0,000;;;;
62630000;ABONNEMENT T.T.N;0,000;;;;
62720000;FRAIS BANCAIRES ET COMMISSIONS;0,000;;;;
63600001;PERTE/DIFFERANCE DU REGLEMENT;0,000;;;;
63600002;PENALITES AMENDES FISCALES;0,000;;;;
64000000;SALAIRES;23 000,000;;;;
64281000;CONGES PAYES;0,000;;;;
64711000;CHARGE PATRONALE;0,000;;;;
64712000;ACCIDENT DE TRAVAIL;0,000;;;;
65120000;INTERETS DEBITEURS;0,000;;;;
66001000;TFP;0,000;;;;
66001100;FOPROLOS;0,000;;;;
66001200;TCL;0,000;;;;
66500001;AUTRES DROITS ET TAXES;0,000;;;;
66540000;DROITS D'ENREGISTREMENT ET DE TIMBRE;20,340;;;;
66550000;TAXE/VEHICULES;0,000;;;;
67000100;DIFFERENCE DE REGLEMENT;0,000;;;;
68100000;DOTATIONS AUX AMORT ET AUX PROV;0,000;;;;
6900000;IMPOT SUR LES SOCIETES;0,000;;;;
70500100;PRESTATIONS DE SERVICES;-5 719 800,000;;;;
73600000;PRODUITS NET/C .IMM ET A.ELE N RECC O.EX;0,000;;;;
73600001;GAIN/DIFFERENCE DE REGLEMENT;0,000;;;;
78100000;REPRISE SUR PROVISION;0,000;;;;
;;259 450,000;;;;
;;;;;;
;;;;;;
;;;;;;
;;259 450,000;;;;
