Compte;Intitulé;Solde ant Dbt (réf);Solde ant Cdt (réf);Débit période (réf);Crédit période (réf);Solde pér Dbt (réf);Solde pér Cdt (réf);Solde fin Dbt (réf);Solde fin Cdt (réf)
10100000;CAPITAL SOCIAL;0;0;0;12400000;0;12400000;0;12400000
10900000;ACTIONNAIRE CAPITAL NON APPELE;0;0;3140;3130;10;0;10;0
16210000;EMPRUNT BANCAIRE;0;0;0;21100000;0;21100000;0;21100000
16220000;EMPRUNT LEASING;0;0;129604,98;1428285,64;0;1298680,66;0;1298680,66
21220000;LICENCES;0;0;97753;168739,97;0;70986,97;0;70986,97
21300000;LOGICIELS;0;0;26751,64;27934,7;0;1183,06;0;1183,06
22100000;TERRAINS;0;0;1044646,76;0;1044646,76;0;1044646,76;0
22200000;CONSTRUCTIONS;0;0;2205683,09;41574,55;2164108,53;0;2164108,53;0
22250000;INSTALLA  AGENECE AMENAGEMENT;0;0;0;266444,72;0;266444,72;0;266444,72
22300000;INSTAL TECH MAT  OUTI INDUS;0;0;3122996,71;484846,51;2638150,2;0;2638150,2;0
22310000;INSTAL TECH;0;0;0;76881,73;0;76881,73;0;76881,73
22340000;MATERIEL INDUS;0;0;10104419,95;384138,73;9720281,22;0;9720281,22;0
22350000;OUTILLAGE INDUS;0;0;0;2901,55;0;2901,55;0;2901,55
22440000;MATERIEL TRANSPORT  PERSONNE;0;0;52000;0;52000;0;52000;0
22810000;INSTAL AGENCE AMENAGE DIVERS;0;0;2090;37780,85;0;35690,85;0;35690,85
22820000;EQUIPEMENT DE BUREAU;0;0;58377,21;7092,85;51284,36;0;51284,36;0
22830000;MATERIEL INFORMATIQUE;0;0;52808,97;28983,86;23825,11;0;23825,11;0
22831000;TELEPHONE PORTABLE;0;0;18756,16;0;18756,16;0;18756,16;0
22832000;PC PORTABLE;0;0;21829,74;54,62;21775,11;0;21775,11;0
22860000;EMBALLAGE RECUPERABLE IDENTI;0;0;0;690,84;0;690,84;0;690,84
23000000;IMMOBILISATIONS EN COURS;0;0;0;134080;0;134080;0;134080
23100000;IMMO INCORP EN COURS;0;0;92350,18;68845,03;23505,15;0;23505,15;0
23200000;IMMO CORP EN COURS;0;0;17850822,83;6352386,35;11498436,47;0;11498436,47;0
23800000;AVANCES  VERSES/ IMMOB CORP;0;0;1910024,56;0;1910024,56;0;1910024,56;0
24340000;MATERIEL INDUS  A STATU  PARTI;0;0;319594,54;803106,58;0;483512,04;0;483512,04
24440000;MATERIEL TRANSPORT PERSONNEL  ;0;0;1412812,85;0;1412812,85;0;1412812,85;0
26430000;PRETS AU PERSONNEL;0;0;49000;0;49000;0;49000;0
26550000;CAUTIONNEMENTS;0;0;160971,2;57998,3;102972,9;0;102972,9;0
27100000;FRAIS PRELIMINAIRES;0;0;3803582,26;4465,14;3799117,12;0;3799117,12;0
27200000;CHARGES A REPARTIR;0;0;649287,04;39225;610062,04;0;610062,04;0
28122000;AMORT LICENCE ;0;0;0;10534,11;0;10534,11;0;10534,11
28244000;AMORT MATERIEL TRANSPORT PERSO;0;0;0;233055,68;0;233055,68;0;233055,68
28282000;AMORT EQUIPEMENT DE BUREAU;0;0;0;4754,71;0;4754,71;0;4754,71
28283000;AMORT MATERIEL INFORMATIQUE;0;0;0;10991,61;0;10991,61;0;10991,61
40110000;FRS - BIENS OU PREST SERVICE;0;0;32884,39;32884,9;0;0,51;0;0,51
40111000;FRS EXPL- BIENS LOCAUX;0;0;31956,34;51389,34;0;19433;0;19433
40112000;FRS EXPL- BIENS ETRANGERS;0;0;6700;3570;3130;0;3130;0
40113000;FRS EXPL - SERVICES LOCAUX;0;0;2080305,36;1961535,55;118769,81;0;118769,81;0
40313000;FRS EXPL EAP- SERVICES LOCAUX;0;0;0;89698,86;0;89698,86;0;89698,86
40411000;FRS - ACHAT IMMO LOCAUX;0;0;4321945,51;5178014,65;0;856069,14;0;856069,14
40412000;FRS - ACHAT IMMO ETRANGERS;0;0;3691985,61;8634360,62;0;4942375,01;0;4942375,01
40471000;FRS IMMO LOC -RETENUE GARANTIE;0;0;289461,42;1177060,82;0;887599,39;0;887599,39
40511000;FRS IMMO LOC - EFFETS A  PAYER;0;0;237737,93;237737,93;0;0;0;0
40841000;FRS IMMO LOC - FAC NON PARVENU;0;0;864349,25;864349,25;0;0;0;0
40910000;FRS AVANCES & ACOMPTES VERSES;0;0;198000;0;198000;0;198000;0
40911000;FRS D EXP- AVANCE BIENS LOCAUX;0;0;82237,25;0;82237,25;0;82237,25;0
40913000;FRS D EXP- AVANCE SERVICES LOC;0;0;492282,65;3600;488682,65;0;488682,65;0
40941000;FRS IMMO LOC- AVANCE  VERSEE;0;0;3378416,71;70031,4;3308385,31;0;3308385,31;0
40942000;FRS IMMO ETR - AVANCE VERSEE;0;0;873525,38;0;873525,38;0;873525,38;0
41111000;CLT LOC - VTE BIENS ;0;0;0;19071,16;0;19071,16;0;19071,16
41300000;CLIENTS - EFFETS A RECEVOIR;0;0;16831,14;0;16831,14;0;16831,14;0
42110000;PERSONEL AVANCES;0;0;8100;7600;500;0;500;0
42120000;PERSONEL PRETS;0;0;4000;1100;2900;0;2900;0
42500000;PERSONNEL - REMUNERATIONS DUES;0;0;789930,66;790959,42;0;1028,75;0;1028,75
42820000;DETTE PROVISIONE/CONGE A PAYER;0;0;0;35716,24;0;35716,24;0;35716,24
43201500;R/S MARCHES;0;0;170,01;0;170,01;0;170,01;0
43211000;IRPP;0;0;411585,36;411585,98;0;0,61;0;0,61
43212000;R/S CSS;0;0;5859,67;5859,68;0;0;0;0
43220005;R/S  0,5%;0;0;0;1500;0;1500;0;1500
43220010;R/S  1,0%;0;0;53699,39;50663;3036,38;0;3036,38;0
43220015;R/S  1,5%;0;0;0;219,58;0;219,58;0;219,58
43220050;R/S  3,0%;0;0;5654,4;5724,08;0;69,68;0;69,68
